subnet number	subnet ip	first usable host ip	last usable host ip	broadcast address
1		192.37.0.0	192.37.0.1		192.37.0.254		192.37.0.255
2		192.37.1.0	192.37.1.1		192.37.1.254		192.37.1.255
3		192.37.2.0	192.37.2.1		192.37.2.254		192.37.2.255
4		192.37.3.0	192.37.3.1		192.37.3.254		192.37.3.255
5		192.37.4.0	192.37.4.1		192.37.4.254		192.37.4.255
6		192.37.5.0	192.37.5.1		192.37.5.254		192.37.5.255
7		192.37.6.0	192.37.6.1		192.37.6.254		192.37.6.255
8		192.37.7.0	192.37.7.1		192.37.7.254		192.37.7.255
9		192.37.8.0	192.37.8.1		192.37.8.254		192.37.8.255
10		192.37.9.0	192.37.9.1		192.37.9.254		192.37.9.255
11		192.37.10.0	192.37.10.1		192.37.10.254		192.37.10.255
12		192.37.11.0	192.37.11.1		192.37.11.254		192.37.11.255
13		192.37.12.0	192.37.12.1		192.37.12.254		192.37.12.255
14		192.37.13.0	192.37.13.1		192.37.13.254		192.37.13.255
15		192.37.14.0	192.37.14.1		192.37.14.254		192.37.14.255
